section,id,text,type,options,unit,required,help_text,dimension,method,params,weight,weight_routine,weight_advanced,show_if_id,show_if_value
Analytical Performance,perf9,Enter the tailing factor (Tf),number,,,TRUE,"Enter the Tf value. Scoring: 0.8-1.2 = Excellent, 0.7-1.5 = Good, 0.6-2 = Acceptable, outside = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 0.6, ""score"": 25}, {""max"": 0.7, ""score"": 50}, {""max"": 1.2, ""score"": 100}, {""max"": 1.5, ""score"": 75}, {""max"": 2, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,2,,
Analytical Performance,perf10,Enter the number of theoretical plates (N),number,,,TRUE,"Enter the N value. Scoring: >4000 = Excellent, >2000 = Good, >1000 = Acceptable, <1000 = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 1000, ""score"": 25}, {""max"": 2000, ""score"": 50}, {""max"": 4000, ""score"": 75}, {""max"": 999999, ""score"": 100}]}",1,1,2,,
Analytical Performance,perf11,Has carry-over been checked?,dropdown,Yes;No,,TRUE,"Indicate whether carry-over has been evaluated for your method.",Analytical Performance,lookup,"{""Yes"": 100, ""No"": 25}",1,1,1,,
Analytical Performance,perf12,Robustness: number of parameters that remained robust after testing,number,,,TRUE,"Enter the number of parameters that remained robust after testing. Scoring: >5 = Excellent, >4 = Good, >3 = Acceptable, ≤2 = Poor.",Analytical Performance,threshold,"{""ranges"": [{""max"": 2, ""score"": 25}, {""max"": 3, ""score"": 50}, {""max"": 4, ""score"": 75}, {""max"": 999999, ""score"": 100}]}",1,1,2,,
Analytical Performance,sample_analysis_results_heading,Sample analysis Results,label,,,FALSE,"Sample analysis results for the matrix and substrate type.",Analytical Performance,notes,,,1,1,1,,
Analytical Performance,sample_analysis_results,Substrate Difficulty,csv_dropdown,,,TRUE,"Select the substrate challenge level for the analysed sample type. Values are sourced from the sample-analysis-results CSV file.",Analytical Performance,lookup,"{""source"": ""SAMPLE_ANALYSIS_RESULTS_OPTIONS"", ""labelField"": ""sample"", ""valueField"": ""difficulty""}",1,1,1,,
Analytical Performance,perf13,Enter matrix recovery (%),number,,%,TRUE,"Enter the matrix recovery as a percentage. Higher values indicate better recovery from the matrix.",Analytical Performance,threshold,"{""ranges"": [{""max"": 70, ""score"": 25}, {""max"": 80, ""score"": 50}, {""max"": 90, ""score"": 75}, {""max"": 100, ""score"": 100}]}",1,1,2,,
Analytical Performance,perf14,Enter matrix effect (%),number,,%,TRUE,"Enter the matrix effect as a percentage. Values closer to 100% are usually preferred.",Analytical Performance,threshold,"{""ranges"": [{""max"": 70, ""score"": 25}, {""max"": 80, ""score"": 50}, {""max"": 90, ""score"": 75}, {""max"": 100, ""score"": 100}]}",1,1,2,,
Analytical Performance,perf15,Enter % process efficiency,number,,%,TRUE,"% process efficiency = matrix recovery × matrix effect. Enter the resulting percentage value.",Analytical Performance,threshold,"{""ranges"": [{""max"": 50, ""score"": 25}, {""max"": 70, ""score"": 50}, {""max"": 85, ""score"": 75}, {""max"": 100, ""score"": 100}]}",1,1,2,,
Analytical Performance,perf17,Enter reliable detection limit in matrix (µg/mL),number,,µg/mL,TRUE,"Enter the reliable detection limit in matrix. For industrial methods use µg/mL and for advanced methods use ng/mL.",Analytical Performance,threshold,"{""ranges"": [{""max"": 0.1, ""score"": 100}, {""max"": 1, ""score"": 75}, {""max"": 5, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,2,,
Practicality,prac1,Number of analytes covered by the method,number,,,TRUE,"Enter the number of analytes. Value will auto-populate from analytical performance section. Scoring: >4 = Excellent, 3 = Good, 2 = Acceptable, 1 = Poor.",Practicality,threshold,"{""ranges"": [{""max"": 1, ""score"": 25}, {""max"": 2, ""score"": 50}, {""max"": 3, ""score"": 75}, {""max"": 999999, ""score"": 100}]}",1,1,1,,
Practicality,prac2,How many samples can be simultaneously pretreated? (Enter 11 if no pretreatment is needed),number,,,TRUE,"Enter the number of simultaneous samples. Scoring: >10 = Excellent, >6 = Good, >2 = Acceptable, 1 = Poor.",Practicality,threshold,"{""ranges"": [{""max"": 1, ""score"": 25}, {""max"": 2, ""score"": 50}, {""max"": 6, ""score"": 75}, {""max"": 999999, ""score"": 100}]}",1,1,1,,
Practicality,prac3,"Total analysis time including recalibration (gradient elution), in minutes",number,,min,TRUE,"Enter the time in minutes. Value will auto-populate from analytical performance section. Scoring: <5 = Excellent, <10 = Good, <20 = Acceptable, >20 = Poor.",Practicality,threshold,"{""ranges"": [{""max"": 5, ""score"": 100}, {""max"": 10, ""score"": 75}, {""max"": 20, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,1.5,,
Practicality,prac4,"Sample pretreatment time ______________(minutes)",number,,min,TRUE,"Enter the pretreatment time. Scoring: <15 = Excellent, <30 = Good, <45 = Acceptable, >45 = Poor.",Practicality,threshold,"{""ranges"": [{""max"": 15, ""score"": 100}, {""max"": 30, ""score"": 75}, {""max"": 45, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,1.5,,
Green assessment,green1,Is plastic used in the pretreatment procedure?,dropdown,No;Only tips (less than 4);Only tips (more than 5);Yes,,TRUE,Select the level of plastic use in your pretreatment procedure.,Green assessment,lookup,"{""No"": 100, ""Only tips (less than 4)"": 75, ""Only tips (more than 5)"": 50, ""Yes"": 25}",1,1,2,,
Green assessment,green2,What is the Hazard score for your method? (NFPA score × mL for both analysis and pretreatment),number,,,TRUE,"Multiply the NFPA hazard score by the total mL used. Scoring: <5 = Excellent, <15 = Good, <25 = Acceptable, >25 = Poor.",Green assessment,threshold,"{""ranges"": [{""max"": 5, ""score"": 100}, {""max"": 15, ""score"": 75}, {""max"": 25, ""score"": 50}, {""max"": 999999, ""score"": 25}]}",1,1,2,,
Equipment Fixed Costs,aux_pretreat_basic,For basic sample analysis,equipment_checklist,,EUR,TRUE,"Choose the basic pretreatment devices you use. The app will add the checked item costs and score the total.",Equipment Fixed Costs,threshold,"{\"ranges\": [{\"max\": 10000, \"score\": 100}, {\"max\": 30000, \"score\": 75}, {\"max\": 60000, \"score\": 50}, {\"max\": 999999, \"score\": 25}]}",1,1,2,,
Equipment Fixed Costs,aux_pretreat_advanced,For advanced sample analysis,equipment_checklist,,EUR,TRUE,"Choose the advanced pretreatment devices you use. The app will add the checked item costs and score the total.",Equipment Fixed Costs,threshold,"{\"ranges\": [{\"max\": 10000, \"score\": 100}, {\"max\": 30000, \"score\": 75}, {\"max\": 60000, \"score\": 50}, {\"max\": 999999, \"score\": 25}]}",1,1,2,,
Equipment Fixed Costs,aux_pretreat_omics,For omics sample analysis,equipment_checklist,,EUR,TRUE,"Choose the omics pretreatment devices you use. The app will add the checked item costs and score the total.",Equipment Fixed Costs,threshold,"{\"ranges\": [{\"max\": 10000, \"score\": 100}, {\"max\": 30000, \"score\": 75}, {\"max\": 60000, \"score\": 50}, {\"max\": 999999, \"score\": 25}]}",1,1,2,,
Equipment Fixed Costs,aux_pretreat_software,For software,equipment_checklist,,EUR,TRUE,"Choose the software tools used in the workflow. The app will add the checked item costs and score the total.",Equipment Fixed Costs,threshold,"{\"ranges\": [{\"max\": 10000, \"score\": 100}, {\"max\": 30000, \"score\": 75}, {\"max\": 60000, \"score\": 50}, {\"max\": 999999, \"score\": 25}]}",1,1,2,,
